"","scale"
"Flow.Duration",79154745.7590148
"Tot.Fwd.Pkts",268.460792259771
"Tot.Bwd.Pkts",517.976323531571
"TotLen.Fwd.Pkts",78820.8231978487
"TotLen.Bwd.Pkts",732530.31097315
"Fwd.Pkt.Len.Max",223.648590942608
"Fwd.Pkt.Len.Min",170.2599359677
"Fwd.Pkt.Len.Std",61.896113180427
"Bwd.Pkt.Len.Max",718.328821541081
"Bwd.Pkt.Len.Min",110.306671687906
"Bwd.Pkt.Len.Std",313.296481411209
"Flow.Byts.s",3345978.8275881
"Flow.Pkts.s",25832.6432242628
"Flow.IAT.Mean",19023480.5808756
"Flow.IAT.Std",13894122.3825582
"Flow.IAT.Max",49190011.0867992
"Flow.IAT.Min",17953462.131029
"Fwd.IAT.Mean",24227621.4632968
"Fwd.IAT.Std",16939260.9676977
"Fwd.IAT.Min",22083084.2901632
"Bwd.IAT.Tot",65733873.8675481
"Bwd.IAT.Mean",14928325.5829055
"Bwd.IAT.Std",15199122.0548832
"Bwd.IAT.Max",42646200.8725203
"Bwd.IAT.Min",12327544.7004281
"Fwd.PSH.Flags",0.129821785155266
"Fwd.Pkts.s",21933.3906974499
"Bwd.Pkts.s",7852.42040073165
"Pkt.Len.Min",31.0479065203197
"Pkt.Len.Max",709.323358581741
"Pkt.Len.Mean",262.575756069268
"Pkt.Len.Std",278.579367708998
"Pkt.Len.Var",249899.75489283
"FIN.Flag.Cnt",1.60720294788583
"SYN.Flag.Cnt",1.63512399082765
"RST.Flag.Cnt",0.387452316527686
"PSH.Flag.Cnt",68.2855655308137
"Down.Up.Ratio",0.604983901431981
"Bwd.Pkts.b.Avg",333.375233061861
"Bwd.Blk.Rate.Avg",773203.643306389
"Subflow.Fwd.Pkts",0.290262188198646
"Subflow.Fwd.Byts",96.1230906862323
"Subflow.Bwd.Byts",254.364276335344
"Init.Fwd.Win.Byts",20585.7905759556
"Init.Bwd.Win.Byts",13818.2669539416
"Fwd.Seg.Size.Min",8.06632753660707
"Idle.Mean",592005360587243
"Idle.Std",99531949904160.4
"Idle.Min",612484229567730
